# Version 1.00
#
freq[Hz];RF_Conv_S21[dB];
5.000000000000000E+08;-6.866271759442560E+01;
5.100000000000000E+08;-6.955106898725363E+01;
5.200000000000000E+08;-7.585847724216740E+01;
5.300000000000000E+08;-7.452323555636102E+01;
5.400000000000000E+08;-7.434001730301210E+01;
5.500000000000000E+08;-7.045609744499357E+01;
5.600000000000000E+08;-9.394701618459600E+01;
5.700000000000000E+08;-7.017006209938091E+01;
5.800000000000000E+08;-7.231323754480289E+01;
5.900000000000000E+08;-7.575776869214047E+01;
6.000000000000000E+08;-7.995870578353708E+01;
6.100000000000000E+08;-6.605957037448930E+01;
6.200000000000000E+08;-7.444541224800334E+01;
6.300000000000000E+08;-6.735847365785693E+01;
6.400000000000000E+08;-7.784195730714403E+01;
6.500000000000000E+08;-7.698954981424529E+01;
6.600000000000000E+08;-7.297809721539946E+01;
6.700000000000000E+08;-7.281571122982562E+01;
6.800000000000000E+08;-7.489542505214962E+01;
6.900000000000000E+08;-7.173896739350747E+01;
7.000000000000000E+08;-8.152512145785225E+01;
7.100000000000000E+08;-7.712878152270794E+01;
7.200000000000000E+08;-9.539172925057892E+01;
7.300000000000000E+08;-8.170639011338088E+01;
7.400000000000000E+08;-7.156062848311090E+01;
7.500000000000000E+08;-7.233031199738389E+01;
7.600000000000000E+08;-7.373138730677385E+01;
7.700000000000000E+08;-8.616160543956181E+01;
7.800000000000000E+08;-8.161232172155310E+01;
7.900000000000000E+08;-7.263118769459871E+01;
8.000000000000000E+08;-8.140165217325290E+01;
8.100000000000000E+08;-7.834112847287464E+01;
8.200000000000000E+08;-8.056427330438206E+01;
8.300000000000000E+08;-7.143336694874522E+01;
8.400000000000000E+08;-8.440737247467064E+01;
8.500000000000000E+08;-7.998319067077050E+01;
8.600000000000000E+08;-7.520774367917173E+01;
8.700000000000000E+08;-8.711135693006639E+01;
8.800000000000000E+08;-7.505315780262185E+01;
8.900000000000000E+08;-8.708687414487217E+01;
9.000000000000000E+08;-7.733865429492478E+01;
9.100000000000000E+08;-9.911235498677877E+01;
9.200000000000000E+08;-7.483809961609535E+01;
9.300000000000000E+08;-7.984724136727019E+01;
9.400000000000000E+08;-7.997966402755348E+01;
9.500000000000000E+08;-8.192157432710235E+01;
9.600000000000000E+08;-9.321901041969826E+01;
9.700000000000000E+08;-7.603799221735879E+01;
9.800000000000000E+08;-8.653528728536953E+01;
9.900000000000000E+08;-9.100137192628148E+01;
1.000000000000000E+09;-7.939318388550633E+01;
1.010000000000000E+09;-7.899002098593206E+01;
1.020000000000000E+09;-7.807631392234605E+01;
1.030000000000000E+09;-7.487512080579610E+01;
1.040000000000000E+09;-8.465725937473934E+01;
1.050000000000000E+09;-7.540007762386863E+01;
1.060000000000000E+09;-1.013107179374749E+02;
1.070000000000000E+09;-8.032583585425820E+01;
1.080000000000000E+09;-7.935575646459203E+01;
1.090000000000000E+09;-8.650932044278298E+01;
1.100000000000000E+09;-8.063027938281400E+01;
1.110000000000000E+09;-8.298289427169586E+01;
1.120000000000000E+09;-7.480701612095842E+01;
1.130000000000000E+09;-8.567797235688617E+01;
1.140000000000000E+09;-8.588721930673883E+01;
1.150000000000000E+09;-7.726116805008598E+01;
1.160000000000000E+09;-8.734054731156002E+01;
1.170000000000000E+09;-8.047674870668281E+01;
1.180000000000000E+09;-7.789387423683957E+01;
1.190000000000000E+09;-8.536788851862617E+01;
1.200000000000000E+09;-7.637935443548702E+01;
1.210000000000000E+09;-8.282920516571379E+01;
1.220000000000000E+09;-7.811242078472294E+01;
1.230000000000000E+09;-7.535550709948161E+01;
1.240000000000000E+09;-8.278902078409537E+01;
1.250000000000000E+09;-7.666383737029351E+01;
1.260000000000000E+09;-7.860853491159870E+01;
1.270000000000000E+09;-9.195679702466279E+01;
1.280000000000000E+09;-7.992647846389889E+01;
1.290000000000000E+09;-8.899335352145143E+01;
1.300000000000000E+09;-8.943745994979393E+01;
1.310000000000000E+09;-7.948079302467387E+01;
1.320000000000000E+09;-8.621549691369800E+01;
1.330000000000000E+09;-7.487521746340478E+01;
1.340000000000000E+09;-8.360327968620314E+01;
1.350000000000000E+09;-7.663628646696507E+01;
1.360000000000000E+09;-7.790446869930881E+01;
1.370000000000000E+09;-8.186682419324569E+01;
1.380000000000000E+09;-7.984918417701832E+01;
1.390000000000000E+09;-8.016414328114720E+01;
1.400000000000000E+09;-8.668232490905739E+01;
1.410000000000000E+09;-7.850300677257214E+01;
1.420000000000000E+09;-8.098346496249576E+01;
1.430000000000000E+09;-9.017749857075756E+01;
1.440000000000000E+09;-8.738082540382513E+01;
1.450000000000000E+09;-7.509223524047162E+01;
1.460000000000000E+09;-7.929778826541953E+01;
1.470000000000000E+09;-8.008883033525954E+01;
1.480000000000000E+09;-7.543669673976265E+01;
1.490000000000000E+09;-7.465659686304230E+01;
1.500000000000000E+09;-8.637642123523443E+01;
1.510000000000000E+09;-8.715667943451814E+01;
1.520000000000000E+09;-8.535584586502517E+01;
1.530000000000000E+09;-8.667738405261508E+01;
1.540000000000000E+09;-9.179761015290342E+01;
1.550000000000000E+09;-7.664758371601008E+01;
1.560000000000000E+09;-9.082438799789016E+01;
1.570000000000000E+09;-8.733106352165458E+01;
1.580000000000000E+09;-8.638694657489748E+01;
1.590000000000000E+09;-8.348547766919279E+01;
1.600000000000000E+09;-9.652240082967123E+01;
1.610000000000000E+09;-9.101080468741569E+01;
1.620000000000000E+09;-8.512890266643836E+01;
1.630000000000000E+09;-8.547891266138225E+01;
1.640000000000000E+09;-9.895471624697373E+01;
1.650000000000000E+09;-8.676669170502322E+01;
1.660000000000000E+09;-7.526673684239486E+01;
1.670000000000000E+09;-8.786557372448145E+01;
1.680000000000000E+09;-8.225603470283481E+01;
1.690000000000000E+09;-8.440033290485302E+01;
1.700000000000000E+09;-8.565109558672317E+01;
1.710000000000000E+09;-7.789447873434513E+01;
1.720000000000000E+09;-7.867312504663674E+01;
1.730000000000000E+09;-7.770043641897392E+01;
1.740000000000000E+09;-9.026744250868205E+01;
1.750000000000000E+09;-7.947297215480212E+01;
1.760000000000000E+09;-8.678991693851408E+01;
1.770000000000000E+09;-8.846915594396272E+01;
1.780000000000000E+09;-8.469160598146445E+01;
1.790000000000000E+09;-7.956361455953569E+01;
1.800000000000000E+09;-9.269694821006328E+01;
1.810000000000000E+09;-9.149602523181399E+01;
1.820000000000000E+09;-8.299326687650796E+01;
1.830000000000000E+09;-8.146030157980674E+01;
1.840000000000000E+09;-8.506636767754375E+01;
1.850000000000000E+09;-8.091229746576457E+01;
1.860000000000000E+09;-8.243956899342523E+01;
1.870000000000000E+09;-8.644632172974271E+01;
1.880000000000000E+09;-8.499847522913365E+01;
1.890000000000000E+09;-7.958410186867984E+01;
1.900000000000000E+09;-9.214833644398480E+01;
1.910000000000000E+09;-8.089136014971459E+01;
1.920000000000000E+09;-8.707997050101949E+01;
1.930000000000000E+09;-8.361992146974870E+01;
1.940000000000000E+09;-8.186322437235866E+01;
1.950000000000000E+09;-8.221562007899439E+01;
1.960000000000000E+09;-7.649552169264349E+01;
1.970000000000000E+09;-8.614910156166631E+01;
1.980000000000000E+09;-7.892409806046162E+01;
1.990000000000000E+09;-8.205223134742496E+01;
2.000000000000000E+09;-8.277096775701195E+01;
2.010000000000000E+09;-9.821241610767086E+01;
2.020000000000000E+09;-8.651119171091656E+01;
2.030000000000000E+09;-1.066573318313388E+02;
2.040000000000000E+09;-8.273966786054514E+01;
2.050000000000000E+09;-8.345800693115737E+01;
2.060000000000000E+09;-8.796963871233771E+01;
2.070000000000000E+09;-8.112013580648933E+01;
2.080000000000000E+09;-9.351999096033984E+01;
2.090000000000000E+09;-8.845183670093061E+01;
2.100000000000000E+09;-8.607670313558630E+01;
2.110000000000000E+09;-9.173228188960735E+01;
2.120000000000000E+09;-7.812502893592389E+01;
2.130000000000000E+09;-8.506776175584811E+01;
2.140000000000000E+09;-8.981466665297799E+01;
2.150000000000000E+09;-8.283795121964661E+01;
2.160000000000000E+09;-7.659814740734527E+01;
2.170000000000000E+09;-9.213479739569618E+01;
2.180000000000000E+09;-8.205049471912153E+01;
2.190000000000000E+09;-8.242767903642243E+01;
2.200000000000000E+09;-8.053176823876539E+01;
2.210000000000000E+09;-8.010910728403191E+01;
2.220000000000000E+09;-8.036211433138136E+01;
2.230000000000000E+09;-8.549308106043156E+01;
2.240000000000000E+09;-8.789524946421960E+01;
2.250000000000000E+09;-8.464511595652552E+01;
2.260000000000000E+09;-8.970869189956719E+01;
2.270000000000000E+09;-7.761861139936440E+01;
2.280000000000000E+09;-8.343966545350405E+01;
2.290000000000000E+09;-7.878228433748579E+01;
2.300000000000000E+09;-7.871714343292756E+01;
2.310000000000000E+09;-9.303497494311452E+01;
2.320000000000000E+09;-9.143072486607130E+01;
2.330000000000000E+09;-7.723442883957870E+01;
2.340000000000000E+09;-8.440298084427498E+01;
2.350000000000000E+09;-8.919598308491453E+01;
2.360000000000000E+09;-1.018042285667952E+02;
2.370000000000000E+09;-8.283145364272714E+01;
2.380000000000000E+09;-8.136098415912548E+01;
2.390000000000000E+09;-8.361507555500651E+01;
2.400000000000000E+09;-8.127605655908982E+01;
2.410000000000000E+09;-8.233861847091359E+01;
2.420000000000000E+09;-7.979495294738315E+01;
2.430000000000000E+09;-8.013655574407483E+01;
2.440000000000000E+09;-8.191023874224734E+01;
2.450000000000000E+09;-9.302500005509047E+01;
2.460000000000000E+09;-8.138923873946011E+01;
2.470000000000000E+09;-7.970713963319227E+01;
2.480000000000000E+09;-8.974261908131096E+01;
2.490000000000000E+09;-1.010494082475236E+02;
2.500000000000000E+09;-9.038917848047335E+01;
