# Version 1.00
#
freq[Hz];RF_Refl_S11[dB];
5.000000000000000E+08;-3.016179968192108E-01;
5.100000000000000E+08;-3.014861590211785E-01;
5.200000000000000E+08;-2.953400304030339E-01;
5.300000000000000E+08;-2.813830771433670E-01;
5.400000000000000E+08;-2.773227125622493E-01;
5.500000000000000E+08;-2.886445620661209E-01;
5.600000000000000E+08;-2.661234030121477E-01;
5.700000000000000E+08;-2.657023623177742E-01;
5.800000000000000E+08;-2.642241383516694E-01;
5.900000000000000E+08;-2.645484052106943E-01;
6.000000000000000E+08;-2.727400789169662E-01;
6.100000000000000E+08;-2.823284623335484E-01;
6.200000000000000E+08;-2.964274755504733E-01;
6.300000000000000E+08;-3.077570962532359E-01;
6.400000000000000E+08;-3.193593699621923E-01;
6.500000000000000E+08;-3.307229270408075E-01;
6.600000000000000E+08;-3.432989865412812E-01;
6.700000000000000E+08;-3.446798703000077E-01;
6.800000000000000E+08;-3.464238409336384E-01;
6.900000000000000E+08;-3.463017411034023E-01;
7.000000000000000E+08;-3.434379340808958E-01;
7.100000000000000E+08;-3.399119793346370E-01;
7.200000000000000E+08;-3.336424644954322E-01;
7.300000000000000E+08;-3.285036474993007E-01;
7.400000000000000E+08;-3.245517119510697E-01;
7.500000000000000E+08;-3.172149157194329E-01;
7.600000000000000E+08;-3.183942623905256E-01;
7.700000000000000E+08;-3.218426294362370E-01;
7.800000000000000E+08;-3.291982951470934E-01;
7.900000000000000E+08;-3.378762962827468E-01;
8.000000000000000E+08;-3.466747241450411E-01;
8.100000000000000E+08;-3.558023540169141E-01;
8.200000000000000E+08;-3.652618126996344E-01;
8.300000000000000E+08;-3.784972396306613E-01;
8.400000000000000E+08;-3.862104692103483E-01;
8.500000000000000E+08;-3.830267636063319E-01;
8.600000000000000E+08;-3.842924641324568E-01;
8.700000000000000E+08;-3.895438504704125E-01;
8.800000000000000E+08;-3.909020127502792E-01;
8.900000000000000E+08;-3.925258596163229E-01;
9.000000000000000E+08;-3.906757642099207E-01;
9.100000000000000E+08;-3.821306951101844E-01;
9.200000000000000E+08;-3.776340360287911E-01;
9.300000000000000E+08;-3.708857678872822E-01;
9.400000000000000E+08;-3.668901738407288E-01;
9.500000000000000E+08;-3.665600976106731E-01;
9.600000000000000E+08;-3.718270266455166E-01;
9.700000000000000E+08;-3.787419462118481E-01;
9.800000000000000E+08;-3.903519813609753E-01;
9.900000000000000E+08;-3.999936562524772E-01;
1.000000000000000E+09;-4.163299082035937E-01;
1.010000000000000E+09;-4.301494560680131E-01;
1.020000000000000E+09;-4.499504746291685E-01;
1.030000000000000E+09;-4.594261628769972E-01;
1.040000000000000E+09;-4.648542384356676E-01;
1.050000000000000E+09;-4.645112055592626E-01;
1.060000000000000E+09;-4.569015495139866E-01;
1.070000000000000E+09;-4.458965464504286E-01;
1.080000000000000E+09;-4.323707404916826E-01;
1.090000000000000E+09;-4.155102668632524E-01;
1.100000000000000E+09;-4.019000134670350E-01;
1.110000000000000E+09;-3.925859869062434E-01;
1.120000000000000E+09;-3.869537818140670E-01;
